block,r2,mae,correlation,n_samples,r2_train
0,0.2987540211321217,7.163265077308038,0.5679811991714797,25000,0.45080655862245134
1,0.35920055035503606,6.644836821313327,0.6004619303141698,25000,0.473780082066118
2,0.3906239267599475,6.281849951362965,0.6250717694116367,25000,0.48957602324812877
3,0.45176694937978346,5.833506451028696,0.674732666942833,25000,0.550436175321849
4,0.4882382627767031,5.59920881309942,0.7042646959853545,25000,0.5785810913183941
5,0.4824543264101284,5.666813465176345,0.6965565103013981,25000,0.5915779955158446
6,0.4676229671171197,5.789677349946287,0.6841010587970736,25000,0.5975628250979785
7,0.47849389576109125,5.697329651657897,0.6926885657178063,25000,0.6201582592772488
8,0.4728828866718683,5.637868009540068,0.6880377423118429,25000,0.6178093489207328
9,0.4712576840348457,5.647738873974316,0.6865225257114024,25000,0.6218020851463002
10,0.47562593511620355,5.545930105854229,0.690301594299549,25000,0.6352931930972342
11,0.480454110607368,5.47233053976623,0.6948844607498967,25000,0.6478928117524168
12,0.4788337740140657,5.4211984005713685,0.6931062021986707,25000,0.6553517879931086
13,0.5050151574034405,5.1881719881022645,0.7123953639289009,25000,0.6674106923254071
14,0.5243118553839268,4.8962361469046245,0.7253166276812228,25000,0.69319496115436
15,0.5545043930470459,4.5768505167359494,0.7450300911976883,25000,0.7149877690645129
16,0.5595640591238147,4.512776622626204,0.7486633347399979,25000,0.7136745633614779
17,0.5660178407105967,4.490247484336452,0.7527478800660551,25000,0.7172315963065483
18,0.5872126119363843,4.371140417180289,0.7673231522587465,25000,0.7379513842150129
19,0.5902744465982184,4.234700797731996,0.7700071858223886,25000,0.7456308363968204
20,0.5939608969122455,4.15432786756546,0.7746201014939966,25000,0.7537102942635869
21,0.5878799348423973,4.073251016681199,0.7729876275498071,25000,0.7672914658057954
22,0.5806991746912633,4.006875283608532,0.7676915699467914,25000,0.7775268408817797
23,0.565925675161115,4.096987534125907,0.7574314826228759,25000,0.7729893788000552
24,0.5715736846452713,4.111662908348124,0.7628553302958202,25000,0.7742426838221649
25,0.5721957272293988,4.116668578754928,0.763915490978804,25000,0.7767091097124798
26,0.616319674296247,3.7734749171955984,0.7928250162645918,25000,0.803863257684772
27,0.6372045679148518,3.5804947895428643,0.8071281649445191,25000,0.8302542009995756
28,0.6275356489527548,3.6933145833088235,0.7998690349141341,25000,0.8308758568422157
29,0.6721390892109951,3.466244660861821,0.8277620388960553,25000,0.8533126294779751
30,0.6971633969988795,3.4187958737828112,0.8423574623483524,25000,0.8604115317461032
31,0.6885479773168452,3.5137903943686064,0.835284923639703,25000,0.8555720934381157
32,0.727828549667186,3.37380079698517,0.8620447434601187,25000,0.8713019478654933
33,0.7322950146863376,3.4135934845643736,0.863169932950127,25000,0.8683129145618249
34,0.7276498356222054,3.384616806554176,0.8620542612620252,25000,0.871919026617428
35,0.7417375503331436,3.3543424389691427,0.8695547366391603,25000,0.8738503950448413
36,0.7471240980342193,3.318787705708397,0.873911102285775,25000,0.8766270898082387
37,0.7752779469151219,3.204701194410836,0.8888316458922223,25000,0.8881378702665312
38,0.8196892935347098,2.920301756214199,0.9134019742950374,25000,0.9036147707541435
39,0.8239042446985831,2.8147770740227456,0.9177313204653985,25000,0.9086577011680644
40,0.8309238907267298,2.8074881436967174,0.9208838549030063,25000,0.9106826131593382
41,0.8365757720873435,2.7907842905016373,0.9228349280391535,25000,0.9152814470225155
42,0.875706385895816,2.4205671551956893,0.9418468033538107,25000,0.934450953021253
43,0.8754996947118815,2.4699514902915625,0.9398426083115365,25000,0.9312056203701354
44,0.8700461513424653,2.5583915569587017,0.936185266668193,25000,0.9272868895491091
45,0.8701687275890673,2.595340911604895,0.9353488194199762,25000,0.9264008644162205
46,0.8576031398286533,2.735361658135043,0.9287680732108917,25000,0.9188171675041936
47,0.8252455318421057,2.9915545114072652,0.9116587666176553,25000,0.8972514245186102
